"club_id","language_id","name","lorebook_id","extra_key_words"
"1","1","SCHALE","44","{""long"": [""your club""]}"
"2","1","Foreclosure Task Force","45","{""long"": [""your club""]}"
"3","1","Problem Solver 68","46","{""long"": [""your club""]}"
"4","1","Sisterhood","47","{""long"": [""your club""]}"
"5","1","RABBIT Squad","48","{""long"": [""your club/member"", ""your squad/member"", ""your team/member""], ""short"": [""your club"", ""your squad"", ""your team""]}"
"6","1","Prefect Team","49","{""long"": [""your club""]}"
"7","1","Pandemonium Society","",""
"8","1","Gourmet Research Society","",""
"9","1","School Lunch Club","50","{""long"": [""your club""]}"
"10","1","Hot Spring Department","",""
"11","1","Tea Party","51","{""long"": [""your club""]}"
"12","1","Justice Task Force","52","{""long"": [""your club""]}"
"13","1","Remedial Knights","148","{""long"": [""your club""]}"
"14","1","Library Committee","149","{""long"": [""your club""]}"
"15","1","After-School Sweets Club","127","{""long"": [""your club""]}"
"16","1","Trinity's Vigilante Crew","",""
"17","1","Make-Up Work Club","53","{""long"": [""your club""]}"
"18","1","Seminar","54","{""long"": [""your club""]}"
"19","1","Veritas","",""
"20","1","Cleaning&Clearing","125","{""long"": [""your club""]}"
"21","1","Super Phenomenon Task Force","",""
"22","1","Engineering Club","103","{""long"": [""your club""]}"
"23","1","Athletics Training Club","",""
"24","1","Game Development Department","55","{""long"": [""your club""]}"
"25","1","Genryumon","",""
"26","1","Black Tortoise Promenade","",""
"27","1","Plum Blossom Garden","123","{""long"": [""your club""]}"
"28","1","Red Winter Office","",""
"29","1","Labor Party","",""
"30","1","Spec Ops No. 227","",""
"31","1","FOX Squad","",""
"32","1","Arius Squad","56","{""long"": [""your club"", ""your squad"", ""your team""]}"
"33","1","Public Safety Bureau","",""
"34","1","Public Peace Bureau","",""
"35","1","Yin-Yang Club","104","{""long"": [""your club""]}"
"36","1","Festival Operations Department","150","{""long"": [""your club""]}"
"37","1","Inner Discipline Club","",""
"38","1","Ninjutsu Research Club","57","{""long"": [""your club""]}"
"39","1","Central Control Center","131","{""long"": [""your club""]}"
"1","3","SCHALE","300044","{""long"": [""your club""]}"
"2","3","Foreclosure Task Force","300045","{""long"": [""your club""]}"
"3","3","Problem Solver 68","300046","{""long"": [""your club""]}"
"4","3","Sisterhood","300047","{""long"": [""your club""]}"
"5","3","RABBIT Squad","300048","{""long"": [""your club/member"", ""your squad/member"", ""your team/member""], ""short"": [""your club"", ""your squad"", ""your team""]}"
"6","3","Prefect Team","300049","{""long"": [""your club""]}"
"7","3","Pandemonium Society","",""
"8","3","Gourmet Research Society","",""
"9","3","School Lunch Club","300050","{""long"": [""your club""]}"
"10","3","Hot Spring Department","",""
"11","3","Tea Party","300051","{""long"": [""your club""]}"
"12","3","Justice Task Force","300052","{""long"": [""your club""]}"
"13","3","Remedial Knights","300148","{""long"": [""your club""]}"
"14","3","Library Committee","300149","{""long"": [""your club""]}"
"15","3","After-School Sweets Club","300127","{""long"": [""your club""]}"
"16","3","Trinity's Vigilante Crew","",""
"17","3","Make-Up Work Club","300053","{""long"": [""your club""]}"
"18","3","Seminar","300054","{""long"": [""your club""]}"
"19","3","Veritas","",""
"20","3","Cleaning&Clearing","300125","{""long"": [""your club""]}"
"21","3","Super Phenomenon Task Force","",""
"22","3","Engineering Club","300103","{""long"": [""your club""]}"
"23","3","Athletics Training Club","",""
"24","3","Game Development Department","300055","{""long"": [""your club""]}"
"25","3","Genryumon","",""
"26","3","Black Tortoise Promenade","",""
"27","3","Plum Blossom Garden","300123","{""long"": [""your club""]}"
"28","3","Red Winter Office","",""
"29","3","Labor Party","",""
"30","3","Spec Ops No. 227","",""
"31","3","FOX Squad","",""
"32","3","Arius Squad","300056","{""long"": [""your club"", ""your squad"", ""your team""]}"
"33","3","Public Safety Bureau","",""
"34","3","Public Peace Bureau","",""
"35","3","Yin-Yang Club","300104","{""long"": [""your club""]}"
"36","3","Festival Operations Department","300150","{""long"": [""your club""]}"
"37","3","Inner Discipline Club","",""
"38","3","Ninjutsu Research Club","300057","{""long"": [""your club""]}"
"39","3","Central Control Center","300131","{""long"": [""your club""]}"
"1","5","SCHALE","500044","{""long"": [""your club""]}"
"2","5","Foreclosure Task Force","500045","{""long"": [""your club""]}"
"3","5","Problem Solver 68","500046","{""long"": [""your club""]}"
"4","5","Sisterhood","500047","{""long"": [""your club""]}"
"5","5","RABBIT Squad","500048","{""long"": [""your club/member"", ""your squad/member"", ""your team/member""], ""short"": [""your club"", ""your squad"", ""your team""]}"
"6","5","Prefect Team","500049","{""long"": [""your club""]}"
"7","5","Pandemonium Society","",""
"8","5","Gourmet Research Society","",""
"9","5","School Lunch Club","500050","{""long"": [""your club""]}"
"10","5","Hot Spring Department","",""
"11","5","Tea Party","500051","{""long"": [""your club""]}"
"12","5","Justice Task Force","500052","{""long"": [""your club""]}"
"13","5","Remedial Knights","500148","{""long"": [""your club""]}"
